total_amount,log_total_amount,items_quantity,log_items_quantity,avg_item_price,log_avg_item_price,max_item_price,log_max_item_price,unique_products,amount_per_item,price_spread,max_to_avg_price_ratio,transaction_hour,transaction_day_of_week,transaction_is_weekend,amount_low,amount_medium,amount_high,amount_very_high,items_single,items_few,items_many,hour_night,hour_morning,hour_afternoon,hour_evening,label
177.5,5.184588601219694,1.0,0.6931471805599453,177.5,5.184588601219694,177.5,5.184588601219694,1.0,177.5,0.0,1.0,13.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
474.8,6.164997597868857,1.0,0.6931471805599453,474.8,6.164997597868857,474.8,6.164997597868857,1.0,474.8,0.0,1.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
69.47,4.255187087338931,1.0,0.6931471805599453,69.47,4.255187087338931,69.47,4.255187087338931,1.0,69.47,0.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
1016.26,6.924868017258647,1.0,0.6931471805599453,1016.26,6.924868017258647,1016.26,6.924868017258647,1.0,1016.26,0.0,1.0,23.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
1.28,0.8241754429663495,1.0,0.6931471805599453,1.28,0.8241754429663495,1.28,0.8241754429663495,1.0,1.28,0.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
25.83,3.2895206644375325,1.0,0.6931471805599453,25.83,3.2895206644375325,25.83,3.2895206644375325,1.0,25.83,0.0,1.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
31.75,3.488902962081261,1.0,0.6931471805599453,31.75,3.488902962081261,31.75,3.488902962081261,1.0,31.75,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
1128.66,7.029671981475674,1.0,0.6931471805599453,1128.66,7.029671981475674,1128.66,7.029671981475674,1.0,1128.66,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
3.07,1.4036429994545037,1.0,0.6931471805599453,3.07,1.4036429994545037,3.07,1.4036429994545037,1.0,3.07,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
220.43,5.400106512450071,1.0,0.6931471805599453,220.43,5.400106512450071,220.43,5.400106512450071,1.0,220.43,0.0,1.0,22.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
42.95,3.783052624131186,1.0,0.6931471805599453,42.95,3.783052624131186,42.95,3.783052624131186,1.0,42.95,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
283.21,5.649713401532359,1.0,0.6931471805599453,283.21,5.649713401532359,283.21,5.649713401532359,1.0,283.21,0.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
5.96,1.9401794743463283,1.0,0.6931471805599453,5.96,1.9401794743463283,5.96,1.9401794743463283,1.0,5.96,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
56.86,4.058026299547989,1.0,0.6931471805599453,56.86,4.058026299547989,56.86,4.058026299547989,1.0,56.86,0.0,1.0,18.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
191.76,5.261445891772132,1.0,0.6931471805599453,191.76,5.261445891772132,191.76,5.261445891772132,1.0,191.76,0.0,1.0,22.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
91.2,4.523960130562548,1.0,0.6931471805599453,91.2,4.523960130562548,91.2,4.523960130562548,1.0,91.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
42.43,3.7711504465467307,1.0,0.6931471805599453,42.43,3.7711504465467307,42.43,3.7711504465467307,1.0,42.43,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
49.16,3.9152178963246653,1.0,0.6931471805599453,49.16,3.9152178963246653,49.16,3.9152178963246653,1.0,49.16,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
12.85,2.6282852326333477,1.0,0.6931471805599453,12.85,2.6282852326333477,12.85,2.6282852326333477,1.0,12.85,0.0,1.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
56.59,4.053348941518581,1.0,0.6931471805599453,56.59,4.053348941518581,56.59,4.053348941518581,1.0,56.59,0.0,1.0,19.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
7.03,2.0831845279586703,1.0,0.6931471805599453,7.03,2.0831845279586703,7.03,2.0831845279586703,1.0,7.03,0.0,1.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
33.38,3.5374749999547035,1.0,0.6931471805599453,33.38,3.5374749999547035,33.38,3.5374749999547035,1.0,33.38,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
88.08,4.489534842389167,1.0,0.6931471805599453,88.08,4.489534842389167,88.08,4.489534842389167,1.0,88.08,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
38.08,3.6656108271745818,1.0,0.6931471805599453,38.08,3.6656108271745818,38.08,3.6656108271745818,1.0,38.08,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
2.03,1.1085626195212777,1.0,0.6931471805599453,2.03,1.1085626195212777,2.03,1.1085626195212777,1.0,2.03,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
147.41,4.999978713907727,1.0,0.6931471805599453,147.41,4.999978713907727,147.41,4.999978713907727,1.0,147.41,0.0,1.0,17.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
6.14,1.965712776351493,1.0,0.6931471805599453,6.14,1.965712776351493,6.14,1.965712776351493,1.0,6.14,0.0,1.0,21.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
101.76,4.632396172241683,1.0,0.6931471805599453,101.76,4.632396172241683,101.76,4.632396172241683,1.0,101.76,0.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
65.57,4.198254025612612,1.0,0.6931471805599453,65.57,4.198254025612612,65.57,4.198254025612612,1.0,65.57,0.0,1.0,22.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
6.33,1.9919755158985601,1.0,0.6931471805599453,6.33,1.9919755158985601,6.33,1.9919755158985601,1.0,6.33,0.0,1.0,22.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
54.61,4.018363041199472,1.0,0.6931471805599453,54.61,4.018363041199472,54.61,4.018363041199472,1.0,54.61,0.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
7.43,2.131796772013764,1.0,0.6931471805599453,7.43,2.131796772013764,7.43,2.131796772013764,1.0,7.43,0.0,1.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
2.81,1.3376291891386096,1.0,0.6931471805599453,2.81,1.3376291891386096,2.81,1.3376291891386096,1.0,2.81,0.0,1.0,23.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
9.46,2.347558458636777,1.0,0.6931471805599453,9.46,2.347558458636777,9.46,2.347558458636777,1.0,9.46,0.0,1.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
62.4,4.14946386144318,1.0,0.6931471805599453,62.4,4.14946386144318,62.4,4.14946386144318,1.0,62.4,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
6.64,2.033397603178429,1.0,0.6931471805599453,6.64,2.033397603178429,6.64,2.033397603178429,1.0,6.64,0.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
8.19,2.2181159363675955,1.0,0.6931471805599453,8.19,2.2181159363675955,8.19,2.2181159363675955,1.0,8.19,0.0,1.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
84.59,4.4495684538935185,1.0,0.6931471805599453,84.59,4.4495684538935185,84.59,4.4495684538935185,1.0,84.59,0.0,1.0,23.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
499.5,6.215607598755275,1.0,0.6931471805599453,499.5,6.215607598755275,499.5,6.215607598755275,1.0,499.5,0.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
1.54,0.9321640810304452,1.0,0.6931471805599453,1.54,0.9321640810304452,1.54,0.9321640810304452,1.0,1.54,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
301.63,5.71251093722004,1.0,0.6931471805599453,301.63,5.71251093722004,301.63,5.71251093722004,1.0,301.63,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
36.28,3.6184569898173904,1.0,0.6931471805599453,36.28,3.6184569898173904,36.28,3.6184569898173904,1.0,36.28,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
164.66,5.109937495170118,1.0,0.6931471805599453,164.66,5.109937495170118,164.66,5.109937495170118,1.0,164.66,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
6.9,2.066862759472976,1.0,0.6931471805599453,6.9,2.066862759472976,6.9,2.066862759472976,1.0,6.9,0.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
9.3,2.33214389523559,1.0,0.6931471805599453,9.3,2.33214389523559,9.3,2.33214389523559,1.0,9.3,0.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
34.84,3.57906458810673,1.0,0.6931471805599453,34.84,3.57906458810673,34.84,3.57906458810673,1.0,34.84,0.0,1.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
988.01,6.896704442795052,1.0,0.6931471805599453,988.01,6.896704442795052,988.01,6.896704442795052,1.0,988.01,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
406.48,6.009991851721866,1.0,0.6931471805599453,406.48,6.009991851721866,406.48,6.009991851721866,1.0,406.48,0.0,1.0,23.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
876.03,6.776541199312774,1.0,0.6931471805599453,876.03,6.776541199312774,876.03,6.776541199312774,1.0,876.03,0.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
1090.67,6.9954639128316956,1.0,0.6931471805599453,1090.67,6.9954639128316956,1090.67,6.9954639128316956,1.0,1090.67,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
98.27,4.59784341060163,1.0,0.6931471805599453,98.27,4.59784341060163,98.27,4.59784341060163,1.0,98.27,0.0,1.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
1.22,0.7975071958841881,1.0,0.6931471805599453,1.22,0.7975071958841881,1.22,0.7975071958841881,1.0,1.22,0.0,1.0,20.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
14.27,2.725890119230541,1.0,0.6931471805599453,14.27,2.725890119230541,14.27,2.725890119230541,1.0,14.27,0.0,1.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
9.77,2.3767644911682972,1.0,0.6931471805599453,9.77,2.3767644911682972,9.77,2.3767644911682972,1.0,9.77,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
60.39,4.117246955439405,1.0,0.6931471805599453,60.39,4.117246955439405,60.39,4.117246955439405,1.0,60.39,0.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
74.82,4.328362110088189,1.0,0.6931471805599453,74.82,4.328362110088189,74.82,4.328362110088189,1.0,74.82,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
17.46,2.9156062290747062,1.0,0.6931471805599453,17.46,2.9156062290747062,17.46,2.9156062290747062,1.0,17.46,0.0,1.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
109.71,4.706914169871375,1.0,0.6931471805599453,109.71,4.706914169871375,109.71,4.706914169871375,1.0,109.71,0.0,1.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
54.55,4.017283516085639,1.0,0.6931471805599453,54.55,4.017283516085639,54.55,4.017283516085639,1.0,54.55,0.0,1.0,18.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
7.71,2.1644717908644115,1.0,0.6931471805599453,7.71,2.1644717908644115,7.71,2.1644717908644115,1.0,7.71,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
80.7,4.403054001865957,1.0,0.6931471805599453,80.7,4.403054001865957,80.7,4.403054001865957,1.0,80.7,0.0,1.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
39.62,3.7042605561522386,1.0,0.6931471805599453,39.62,3.7042605561522386,39.62,3.7042605561522386,1.0,39.62,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
138.87,4.940713419791212,1.0,0.6931471805599453,138.87,4.940713419791212,138.87,4.940713419791212,1.0,138.87,0.0,1.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
182.69,5.213249554157973,1.0,0.6931471805599453,182.69,5.213249554157973,182.69,5.213249554157973,1.0,182.69,0.0,1.0,14.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
10.79,2.4672517145492794,1.0,0.6931471805599453,10.79,2.4672517145492794,10.79,2.4672517145492794,1.0,10.79,0.0,1.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
3.2,1.4350845252893227,1.0,0.6931471805599453,3.2,1.4350845252893227,3.2,1.4350845252893227,1.0,3.2,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
813.13,6.702120058410734,1.0,0.6931471805599453,813.13,6.702120058410734,813.13,6.702120058410734,1.0,813.13,0.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FRAUD_RISK
42.92,3.7823697972012753,1.0,0.6931471805599453,42.92,3.7823697972012753,42.92,3.7823697972012753,1.0,42.92,0.0,1.0,21.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
48.89,3.909820581872946,1.0,0.6931471805599453,48.89,3.909820581872946,48.89,3.909820581872946,1.0,48.89,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
78.52,4.376008562348319,1.0,0.6931471805599453,78.52,4.376008562348319,78.52,4.376008562348319,1.0,78.52,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
20.73,3.078693794268338,1.0,0.6931471805599453,20.73,3.078693794268338,20.73,3.078693794268338,1.0,20.73,0.0,1.0,22.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
8.78,2.280339484046726,1.0,0.6931471805599453,8.78,2.280339484046726,8.78,2.280339484046726,1.0,8.78,0.0,1.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
349.66,5.859817093041983,1.0,0.6931471805599453,349.66,5.859817093041983,349.66,5.859817093041983,1.0,349.66,0.0,1.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
8.93,2.295560478057081,1.0,0.6931471805599453,8.93,2.295560478057081,8.93,2.295560478057081,1.0,8.93,0.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
317.72,5.764312974396233,1.0,0.6931471805599453,317.72,5.764312974396233,317.72,5.764312974396233,1.0,317.72,0.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
67.32,4.224202549480315,1.0,0.6931471805599453,67.32,4.224202549480315,67.32,4.224202549480315,1.0,67.32,0.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
16.91,2.8853592160726205,1.0,0.6931471805599453,16.91,2.8853592160726205,16.91,2.8853592160726205,1.0,16.91,0.0,1.0,23.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
3.74,1.556037135706985,1.0,0.6931471805599453,3.74,1.556037135706985,3.74,1.556037135706985,1.0,3.74,0.0,1.0,22.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
106.73,4.679628096906101,1.0,0.6931471805599453,106.73,4.679628096906101,106.73,4.679628096906101,1.0,106.73,0.0,1.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
96.31,4.577901758833898,1.0,0.6931471805599453,96.31,4.577901758833898,96.31,4.577901758833898,1.0,96.31,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
80.36,4.398883751740304,1.0,0.6931471805599453,80.36,4.398883751740304,80.36,4.398883751740304,1.0,80.36,0.0,1.0,19.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
9.77,2.3767644911682972,1.0,0.6931471805599453,9.77,2.3767644911682972,9.77,2.3767644911682972,1.0,9.77,0.0,1.0,21.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
103.65,4.650621448892009,1.0,0.6931471805599453,103.65,4.650621448892009,103.65,4.650621448892009,1.0,103.65,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
28.59,3.3874364664121184,1.0,0.6931471805599453,28.59,3.3874364664121184,28.59,3.3874364664121184,1.0,28.59,0.0,1.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
1.66,0.9783261227936076,1.0,0.6931471805599453,1.66,0.9783261227936076,1.66,0.9783261227936076,1.0,1.66,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
37.9,3.6609942506244004,1.0,0.6931471805599453,37.9,3.6609942506244004,37.9,3.6609942506244004,1.0,37.9,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
68.93,4.247494741715776,1.0,0.6931471805599453,68.93,4.247494741715776,68.93,4.247494741715776,1.0,68.93,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
31.72,3.487986511734546,1.0,0.6931471805599453,31.72,3.487986511734546,31.72,3.487986511734546,1.0,31.72,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
23.37,3.193352867637115,1.0,0.6931471805599453,23.37,3.193352867637115,23.37,3.193352867637115,1.0,23.37,0.0,1.0,23.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
32.25,3.504054767101863,1.0,0.6931471805599453,32.25,3.504054767101863,32.25,3.504054767101863,1.0,32.25,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
492.51,6.201543122092755,1.0,0.6931471805599453,492.51,6.201543122092755,492.51,6.201543122092755,1.0,492.51,0.0,1.0,23.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,FRAUD_RISK
4.59,1.7209792871670078,1.0,0.6931471805599453,4.59,1.7209792871670078,4.59,1.7209792871670078,1.0,4.59,0.0,1.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
68.3,4.238444906195857,1.0,0.6931471805599453,68.3,4.238444906195857,68.3,4.238444906195857,1.0,68.3,0.0,1.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
72.85,4.302036008977389,1.0,0.6931471805599453,72.85,4.302036008977389,72.85,4.302036008977389,1.0,72.85,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
28.5,3.3843902633457743,1.0,0.6931471805599453,28.5,3.3843902633457743,28.5,3.3843902633457743,1.0,28.5,0.0,1.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
